pH,Chlorine_Level,Turbidity,NPK_Ratio,Conductivity,Industrial_Waste,Lead_Concentration,Flow_Rate,Water_Pressure,Road_Segment_ID,Terminal_Point_A,Terminal_Point_B,Road_Level,Capacity,Speed_Limit,Pipe_Diameter,Pipe_Length,Pipe_Age,Temperature,Humidity,Barometric_Pressure,Wind_Speed,Weather,Toxication_Level,Water_Quality_Label
7.57,2.33,4.86,8.87,1253.81,6.48,0.0235,174.14,82.91,1166,25,44,Arterial,2632,50,98.51,68.54,53,-1.5,12.69,1036.36,34.93,Stormy,75.17,Unsafe
6.98,3.82,1.76,1.93,415.35,72.0,0.0497,50.1,73.08,1603,71,58,Local,2452,70,73.67,723.07,50,29.44,75.41,1046.26,32.26,Rainy,0.77,Safe
7.04,3.8,4.34,1.28,404.12,98.96,0.0011,192.66,65.79,1627,50,50,Arterial,2587,60,184.21,614.66,92,44.49,59.11,1043.74,21.8,Cloudy,96.45,Unsafe
7.25,1.47,0.47,3.3,1030.04,56.6,0.0166,74.63,75.73,1735,72,73,Collector,2658,70,992.46,695.67,22,-4.75,34.22,1018.34,4.24,Cloudy,66.32,Unsafe
6.54,2.94,1.67,9.87,190.54,26.37,0.0459,125.49,88.08,1737,22,78,Arterial,2835,60,475.87,817.96,31,18.82,39.11,1031.11,24.09,Cloudy,13.06,Safe
7.14,4.49,1.75,0.7,572.41,37.29,0.0321,188.86,87.96,1567,36,38,Arterial,800,30,764.73,625.57,20,34.74,26.32,1002.07,15.96,Rainy,64.69,Unsafe
6.92,2.48,0.26,6.89,478.37,64.86,0.0271,50.69,56.48,1223,3,90,Arterial,2740,70,502.88,484.47,49,17.53,57.78,1007.68,35.63,Sunny,35.38,Safe
7.15,4.74,0.6,6.28,1278.59,70.14,0.0319,172.89,44.62,1969,78,48,Collector,2755,40,707.45,818.94,85,12.05,11.5,1012.28,35.57,Stormy,35.02,Safe
6.74,1.23,0.97,6.64,796.03,88.63,0.0161,191.1,49.31,1802,27,91,Collector,1904,70,369.9,629.83,61,5.28,81.18,1008.3,39.17,Stormy,25.31,Safe
8.28,0.56,4.19,2.57,987.39,90.88,0.0036,172.21,61.71,1913,90,34,Arterial,2355,70,1083.12,703.25,52,1.69,72.06,1032.06,49.98,Rainy,59.09,Unsafe
7.69,4.48,0.32,2.65,237.1,86.13,0.0138,165.64,27.15,1760,7,44,Local,1836,50,761.24,438.62,99,-0.07,44.35,1043.47,28.56,Rainy,74.95,Unsafe
7.86,4.27,1.49,4.59,1396.93,64.85,0.0168,60.28,67.28,1420,37,55,Local,2162,30,585.12,455.64,9,33.73,30.85,1017.68,33.63,Rainy,53.29,Unsafe
8.08,4.96,0.05,1.41,517.56,44.99,0.024,87.35,56.26,1891,55,60,Local,536,50,368.66,452.95,37,10.64,54.74,998.59,17.91,Cloudy,7.02,Safe
7.5,3.46,3.48,1.21,1074.92,67.93,0.0197,154.46,80.71,1151,44,32,Local,2165,60,391.12,293.12,37,17.74,40.37,1021.9,2.28,Stormy,48.62,Safe
6.67,4.7,3.1,1.34,1434.21,66.66,0.0261,32.45,41.92,1279,72,16,Local,1980,30,850.39,621.81,61,37.33,80.47,1014.11,48.73,Rainy,66.23,Unsafe
7.57,4.17,3.22,5.94,787.54,21.8,0.0098,178.79,25.3,1541,60,31,Collector,1401,30,521.51,445.65,10,14.89,42.29,1004.58,5.08,Cloudy,14.24,Safe
7.67,4.25,1.87,4.28,785.93,50.76,0.0092,49.95,91.57,1154,59,42,Collector,1156,30,699.47,56.88,57,-1.28,75.06,1012.24,13.57,Cloudy,43.49,Safe
7.99,2.93,1.04,3.29,220.01,20.82,0.0176,117.31,25.45,1669,52,79,Local,1052,70,1185.56,702.71,89,15.9,66.04,1022.6,12.24,Cloudy,44.71,Safe
7.36,2.04,3.6,3.5,615.9,89.91,0.0237,29.96,94.18,1899,4,38,Collector,689,50,413.42,508.13,74,23.6,60.57,1032.1,17.61,Sunny,0.48,Safe
6.76,4.69,4.06,2.47,1286.07,32.32,0.0171,45.19,59.8,1794,2,93,Local,2068,60,520.95,197.57,65,-4.26,89.05,1009.73,37.49,Cloudy,83.77,Unsafe
7.07,2.27,0.69,4.41,245.9,80.54,0.0288,121.25,24.5,1108,17,86,Arterial,2036,70,419.85,66.48,76,24.06,67.66,1034.52,45.22,Sunny,13.08,Safe
7.23,2.79,2.43,2.43,1380.38,37.72,0.0155,130.58,30.07,1450,85,4,Local,1449,40,153.32,199.68,64,2.49,94.76,1016.73,19.29,Cloudy,57.43,Unsafe
7.79,2.34,1.24,7.13,1017.6,76.37,0.0089,61.25,62.64,1133,84,94,Collector,2706,40,1131.34,515.5,98,0.51,52.56,1025.22,6.87,Cloudy,88.92,Unsafe
7.64,2.91,0.84,1.68,660.39,22.09,0.0431,32.63,21.26,1518,30,32,Arterial,654,40,912.85,74.44,21,30.43,44.01,1031.99,1.17,Cloudy,88.19,Unsafe
7.21,2.46,3.67,9.51,842.42,76.37,0.01,114.42,93.21,1374,48,68,Local,1053,50,755.42,619.71,95,2.37,66.01,991.03,2.18,Cloudy,70.7,Unsafe
8.47,0.43,2.69,1.35,268.22,17.95,0.0483,169.72,83.7,1340,2,1,Arterial,687,70,77.56,279.08,56,-0.0,49.34,1001.5,30.01,Cloudy,80.21,Unsafe
7.71,4.43,1.08,9.46,365.35,49.08,0.0494,48.27,60.36,1454,79,36,Local,653,30,1008.24,965.27,57,17.64,52.04,994.1,16.54,Sunny,93.45,Unsafe
6.97,2.33,1.55,8.42,465.29,11.36,0.0348,141.4,94.1,1257,66,7,Local,1940,70,132.59,791.4,32,15.44,41.44,1008.78,10.88,Sunny,42.53,Safe
6.7,3.03,4.83,6.97,608.03,52.79,0.0251,83.32,40.78,1456,27,44,Collector,981,70,198.04,120.1,79,27.66,74.61,995.58,11.32,Rainy,92.81,Unsafe
6.81,0.87,4.24,9.17,1377.51,82.07,0.0398,189.19,88.27,1194,21,24,Arterial,2643,30,150.31,716.54,84,42.49,66.38,1003.85,0.1,Cloudy,92.53,Unsafe
6.99,0.22,4.4,1.82,582.98,75.55,0.0437,25.69,84.41,1751,89,33,Arterial,2970,40,218.34,833.15,34,-0.31,59.57,1040.98,10.2,Cloudy,31.26,Safe
6.82,1.38,2.3,2.17,809.56,5.07,0.0355,17.59,66.55,1142,93,79,Arterial,2287,30,783.23,868.79,7,41.91,50.38,1036.7,8.05,Rainy,74.37,Unsafe
6.87,3.58,3.12,2.9,284.94,49.22,0.0051,33.62,45.51,1944,5,89,Local,1303,40,143.44,551.12,92,31.93,68.41,1035.01,33.21,Stormy,70.27,Unsafe
7.07,0.68,1.88,2.83,1117.16,85.22,0.0001,158.66,64.67,1034,65,25,Arterial,2117,70,780.12,863.86,3,8.74,91.06,988.89,29.83,Sunny,7.77,Safe
6.85,4.56,0.39,3.45,862.41,65.01,0.0096,185.33,96.58,1212,25,78,Local,573,40,943.11,765.82,74,39.7,78.13,1031.38,44.06,Stormy,83.52,Unsafe
8.29,1.23,2.01,5.97,687.87,5.92,0.0094,166.27,26.77,1784,25,58,Collector,2185,30,576.93,570.55,51,-2.59,34.12,1007.57,6.76,Stormy,15.71,Safe
6.66,1.18,2.97,0.77,1423.42,32.56,0.0091,146.39,36.08,1837,48,12,Collector,2058,60,784.22,427.93,86,44.17,69.67,987.43,49.37,Rainy,23.1,Safe
7.55,1.07,1.44,4.13,1341.44,55.66,0.0255,20.94,71.51,1142,11,76,Local,2412,40,456.91,12.07,20,33.87,15.22,987.82,15.46,Stormy,58.33,Unsafe
7.32,0.27,4.24,2.84,1006.29,17.27,0.026,50.62,74.27,1523,97,80,Collector,1910,50,909.53,618.59,18,11.49,89.23,985.3,24.09,Sunny,71.22,Unsafe
8.46,3.9,0.76,6.26,1386.63,68.19,0.0362,187.72,33.16,1672,19,89,Arterial,2846,70,1184.97,252.48,96,29.24,58.71,1023.51,24.48,Sunny,77.38,Unsafe
6.72,4.4,1.84,9.86,868.93,63.48,0.0101,128.33,84.5,1892,18,11,Local,1262,30,441.34,235.29,68,43.68,71.62,1025.3,25.57,Sunny,35.02,Safe
7.3,3.15,0.62,5.42,1249.06,20.24,0.0046,98.98,94.28,1905,7,69,Arterial,1180,30,750.6,151.15,33,12.28,54.55,995.44,29.99,Sunny,50.13,Unsafe
8.44,1.1,2.02,4.54,643.72,55.04,0.0333,133.94,26.37,1709,87,78,Local,1086,60,1167.32,686.61,66,17.16,61.31,1029.91,9.53,Sunny,42.1,Safe
8.23,1.57,0.2,4.0,175.78,81.17,0.0242,43.93,97.94,1681,4,44,Collector,2057,40,86.62,682.09,16,37.16,75.45,1037.54,1.59,Stormy,20.91,Safe
8.13,2.48,1.36,7.96,1491.52,37.48,0.0333,179.65,42.5,1672,21,93,Arterial,2186,70,371.35,423.1,54,17.46,88.68,1013.85,41.82,Stormy,26.99,Safe
7.02,4.78,2.0,1.18,290.17,24.7,0.019,134.7,44.71,1887,41,66,Collector,2636,70,234.79,473.76,72,1.09,26.31,1042.56,33.95,Stormy,62.32,Unsafe
6.84,1.39,2.39,9.62,414.69,70.12,0.0375,99.54,23.59,1012,77,52,Collector,1573,40,749.83,762.87,37,27.52,37.04,1015.67,23.68,Rainy,80.14,Unsafe
7.84,3.71,2.72,4.47,286.5,7.08,0.0341,96.9,59.79,1381,91,66,Arterial,1675,70,254.04,162.08,53,12.34,93.69,1045.84,9.3,Rainy,60.59,Unsafe
8.36,2.31,1.37,3.48,539.35,83.27,0.0325,166.25,96.38,1705,6,50,Collector,2542,50,410.86,237.57,7,42.13,13.05,982.37,34.34,Cloudy,47.43,Safe
7.61,1.63,2.62,9.75,469.46,94.35,0.0014,68.5,32.88,1529,77,12,Collector,2943,40,548.74,942.98,17,0.34,34.49,999.11,43.11,Stormy,75.09,Unsafe
7.64,2.39,2.55,9.39,921.6,96.48,0.0429,36.06,66.15,1625,63,69,Arterial,1493,50,111.96,998.6,90,19.65,55.85,1000.76,4.49,Stormy,9.95,Safe
7.06,0.54,1.58,6.6,1494.87,43.25,0.0188,45.28,41.96,1720,18,76,Arterial,519,50,391.28,517.21,43,32.0,85.22,1002.81,6.99,Stormy,56.65,Unsafe
8.04,4.03,4.15,0.68,126.14,62.32,0.0068,25.42,21.49,1353,27,33,Local,2651,30,309.64,467.72,78,39.8,46.94,1007.99,4.92,Sunny,48.02,Safe
6.87,1.37,2.73,7.61,1178.74,85.74,0.0378,106.49,98.97,1775,87,58,Arterial,2648,70,544.26,91.54,8,32.47,30.08,1011.15,27.58,Cloudy,20.87,Safe
7.15,3.68,1.66,3.69,235.59,22.34,0.0243,138.68,77.29,1311,46,10,Local,2580,70,1197.73,674.91,19,41.78,37.52,986.18,35.04,Rainy,29.17,Safe
7.35,0.53,4.74,4.19,78.76,2.77,0.0016,187.46,78.84,1476,46,53,Arterial,2717,60,1197.6,473.65,28,32.42,33.75,985.36,41.41,Stormy,72.31,Unsafe
7.52,4.78,4.23,2.01,975.94,38.46,0.0391,152.65,73.04,1901,95,49,Arterial,1983,70,260.72,543.02,13,10.07,23.88,1014.74,4.7,Stormy,50.48,Unsafe
6.98,1.13,4.91,5.47,1316.31,88.44,0.0218,120.79,31.5,1718,85,35,Arterial,716,40,873.61,932.67,37,36.92,47.0,998.28,42.18,Stormy,84.3,Unsafe
6.73,4.44,3.46,7.57,305.63,50.51,0.0377,174.15,36.54,1606,89,77,Collector,898,50,1075.38,921.32,67,22.03,52.88,1011.06,40.85,Sunny,3.0,Safe
7.72,4.09,1.89,3.09,545.34,53.02,0.0378,179.52,50.85,1428,45,49,Local,1701,40,648.28,918.38,73,30.42,67.23,1007.24,27.11,Sunny,35.74,Safe
7.08,4.85,1.4,9.42,294.69,69.15,0.005,145.35,99.64,1029,43,10,Arterial,906,70,900.79,107.43,48,9.74,63.58,1039.18,36.62,Sunny,29.74,Safe
7.66,2.49,3.32,2.35,1364.44,57.45,0.0307,20.69,73.81,1979,80,57,Arterial,2675,40,527.01,389.92,42,44.09,44.67,998.5,20.87,Cloudy,25.0,Safe
6.81,3.69,4.9,1.13,442.02,5.45,0.018,65.43,55.39,1665,50,63,Local,609,70,738.78,667.32,14,25.7,27.7,1014.17,2.42,Cloudy,62.01,Unsafe
7.46,1.98,3.13,6.62,694.83,56.09,0.0273,73.88,58.78,1659,80,79,Collector,532,60,580.53,146.67,11,37.97,77.72,1025.09,36.28,Stormy,45.85,Safe
7.57,1.08,4.41,8.57,1347.37,64.8,0.0044,199.5,93.78,1439,21,63,Arterial,1563,60,397.57,940.93,78,40.75,64.85,1043.53,13.76,Sunny,81.8,Unsafe
6.6,2.33,1.65,9.55,851.66,64.16,0.0294,98.19,35.71,1023,33,38,Local,1599,70,219.03,580.27,86,21.48,43.76,987.67,5.07,Cloudy,5.24,Safe
7.17,1.0,2.03,7.79,1402.63,72.83,0.0389,154.76,45.67,1059,92,73,Arterial,598,40,385.43,600.65,26,32.97,29.71,1006.54,6.72,Stormy,50.77,Unsafe
6.77,4.91,4.53,2.4,1393.35,51.99,0.0493,164.62,49.67,1807,30,61,Arterial,2860,50,1063.0,135.57,59,41.46,72.38,991.45,28.57,Sunny,19.88,Safe
6.63,0.66,3.78,9.79,719.32,90.01,0.016,134.12,91.81,1431,1,90,Collector,2897,70,1086.76,27.42,32,7.83,70.78,1025.38,19.63,Sunny,20.58,Safe
8.48,3.03,4.91,9.23,894.45,46.43,0.0078,13.47,82.14,1527,69,66,Collector,1602,60,1040.48,646.84,36,10.37,49.89,1027.13,18.85,Rainy,1.21,Safe
7.14,3.21,3.87,2.05,383.96,51.82,0.0183,13.68,67.26,1569,33,34,Local,2396,30,385.98,222.27,27,37.81,39.49,1024.91,8.18,Rainy,25.8,Safe
8.12,2.78,2.24,5.81,1486.28,78.03,0.001,165.57,45.18,1067,75,22,Arterial,2970,70,1077.84,821.03,12,11.13,93.34,1025.33,13.12,Sunny,75.59,Unsafe
7.01,3.38,2.66,5.78,453.56,83.32,0.0204,150.46,36.18,1865,72,76,Collector,2192,30,233.56,59.32,36,6.73,74.27,990.55,14.37,Cloudy,67.97,Unsafe
7.86,0.76,4.5,4.7,1185.8,64.84,0.0457,111.86,46.46,1066,95,17,Arterial,1167,30,1036.81,180.12,85,-2.43,26.49,982.08,43.38,Rainy,51.94,Unsafe
8.02,2.86,2.76,9.85,503.81,12.64,0.0097,57.28,94.36,1636,85,82,Local,1205,50,365.95,782.18,55,14.55,36.08,1001.3,34.99,Cloudy,77.98,Unsafe
7.69,1.58,1.28,1.07,503.91,33.2,0.0239,26.48,92.82,1194,89,85,Local,2588,60,801.42,24.29,3,38.87,90.42,1003.62,17.01,Cloudy,11.83,Safe
7.44,4.71,2.18,6.46,200.6,2.02,0.0286,41.21,53.76,1830,18,86,Local,2159,70,914.8,249.03,95,8.35,31.91,1009.01,27.04,Rainy,26.6,Safe
7.32,3.86,2.58,2.45,861.85,29.54,0.009,120.26,46.04,1293,12,85,Collector,2561,30,139.05,727.88,19,44.54,31.06,997.36,10.31,Cloudy,98.15,Unsafe
7.2,4.87,0.48,5.51,405.01,57.02,0.0165,113.71,90.77,1880,12,99,Local,2603,60,382.55,698.74,18,-3.59,15.03,1049.05,34.84,Cloudy,72.12,Unsafe
8.36,0.38,3.72,7.91,265.17,80.52,0.0456,188.84,55.7,1320,99,89,Collector,510,60,772.68,211.98,78,6.72,47.41,984.99,32.12,Stormy,40.53,Safe
8.16,1.57,0.55,2.84,378.67,58.56,0.0148,191.88,23.1,1267,64,13,Collector,1133,60,740.57,793.91,51,23.77,46.8,1042.72,31.83,Rainy,41.71,Safe
8.43,1.14,2.02,4.24,414.09,3.99,0.0318,119.44,47.66,1210,29,83,Collector,1259,60,1069.94,425.36,36,34.79,73.7,1001.88,20.57,Cloudy,59.52,Unsafe
6.75,0.25,4.02,9.53,780.92,25.91,0.0068,169.87,68.58,1738,78,15,Collector,2240,60,796.71,702.99,58,22.01,94.39,986.78,23.53,Sunny,1.2,Safe
7.96,1.36,2.34,7.73,609.59,57.81,0.0335,164.33,95.57,1241,77,74,Local,1050,60,284.91,469.77,91,-2.0,93.35,1020.32,2.83,Stormy,70.84,Unsafe
8.38,3.46,4.21,5.94,159.46,70.9,0.014,152.95,53.97,1196,19,71,Collector,1243,40,949.15,19.46,68,14.97,39.58,991.24,15.02,Sunny,6.31,Safe
6.86,1.31,1.71,2.61,827.24,86.65,0.0116,93.09,39.21,1042,84,88,Local,1541,40,1151.97,14.93,1,38.05,42.05,1033.14,35.07,Cloudy,50.15,Unsafe
6.63,2.64,4.79,4.54,1192.23,96.76,0.0062,83.99,50.76,1818,2,13,Collector,679,60,798.15,989.21,46,-0.55,94.35,1018.75,44.91,Cloudy,62.47,Unsafe
7.98,4.46,1.05,7.85,882.64,89.18,0.0023,60.19,24.56,1422,12,91,Arterial,2911,40,585.75,210.95,84,20.76,16.68,1034.51,13.83,Rainy,60.75,Unsafe
7.65,3.53,0.19,8.3,1463.08,46.73,0.0484,188.05,91.91,1457,44,63,Collector,2761,70,980.1,858.88,68,27.28,43.59,1024.71,43.46,Stormy,90.22,Unsafe
8.18,2.09,4.36,2.82,193.77,74.69,0.0207,168.54,22.67,1137,74,7,Arterial,1813,50,575.15,235.96,65,44.79,67.55,1044.56,1.94,Sunny,22.29,Safe
6.78,1.99,3.76,6.79,1240.67,24.05,0.0389,43.65,20.08,1228,36,70,Local,2805,40,224.09,457.5,89,5.83,13.05,1001.47,37.63,Rainy,18.94,Safe
8.09,2.39,1.16,1.4,783.25,6.38,0.046,57.97,69.13,1291,17,80,Arterial,2426,40,144.08,984.38,19,42.19,40.8,989.47,30.46,Rainy,67.36,Unsafe
6.9,1.05,4.92,0.72,806.31,5.51,0.0102,120.45,32.32,1369,7,69,Local,1868,30,507.02,142.78,43,18.0,56.85,1026.74,38.23,Sunny,46.38,Safe
6.83,3.24,2.51,5.71,802.69,24.13,0.0435,88.58,43.69,1888,18,37,Local,2161,50,866.87,558.14,23,-2.15,90.34,1045.03,47.16,Stormy,76.04,Unsafe
6.83,1.95,4.76,2.63,521.71,3.75,0.0354,50.64,59.28,1226,13,77,Arterial,925,60,849.54,367.85,33,37.63,31.74,1023.13,37.28,Sunny,45.71,Safe
8.13,4.29,2.53,1.25,520.6,85.03,0.0289,160.32,83.37,1344,77,26,Arterial,2943,60,661.57,574.53,17,-0.52,79.62,1042.19,8.71,Sunny,58.57,Unsafe
7.83,3.83,2.36,7.43,966.17,48.99,0.0405,10.3,51.0,1688,60,47,Collector,1036,60,553.33,529.27,59,-0.16,50.75,983.41,45.79,Cloudy,2.32,Safe
7.55,3.13,2.25,5.23,114.91,81.09,0.0055,75.22,96.57,1762,12,17,Local,1497,70,810.58,138.97,33,-4.82,54.56,1037.68,36.47,Rainy,74.42,Unsafe
7.22,1.95,1.67,8.06,903.74,93.99,0.0132,186.58,56.26,1946,79,75,Local,2742,30,1153.95,571.95,75,14.82,10.8,1041.3,13.17,Rainy,95.08,Unsafe
8.25,1.21,2.67,6.81,1100.66,99.39,0.0066,154.55,93.6,1953,48,78,Arterial,1039,50,382.34,368.6,38,5.28,37.63,1025.07,10.43,Rainy,12.39,Safe
7.28,3.93,2.26,7.43,566.67,93.72,0.0448,86.24,56.19,1638,51,55,Collector,2395,40,694.89,264.98,39,3.11,90.09,1010.66,33.69,Sunny,19.84,Safe
8.13,2.53,0.18,3.42,365.17,71.66,0.0049,186.46,61.29,1734,67,22,Local,1647,30,1021.76,148.36,71,37.97,53.58,1000.49,19.4,Sunny,81.15,Unsafe
7.38,1.28,1.3,3.0,359.41,44.2,0.049,181.15,96.65,1378,60,39,Collector,764,40,348.64,670.21,21,19.05,66.17,988.53,10.62,Rainy,8.5,Safe
7.25,1.14,1.07,6.21,168.67,59.8,0.0055,19.99,73.99,1355,10,95,Collector,2439,70,348.18,721.31,94,17.5,26.41,1047.4,2.84,Sunny,15.01,Safe
7.43,0.99,4.34,2.4,180.09,81.65,0.0331,34.31,31.95,1210,23,99,Collector,1264,30,1064.47,819.27,25,35.16,98.35,993.55,40.55,Rainy,14.96,Safe
7.1,3.93,2.99,8.25,291.7,89.76,0.033,83.57,67.88,1885,4,41,Local,1032,30,1155.96,819.83,8,16.31,45.12,1026.61,12.48,Cloudy,31.72,Safe
8.0,1.3,3.82,5.47,77.8,95.65,0.0466,186.59,38.02,1774,25,99,Collector,1970,40,837.41,995.22,30,1.69,43.4,981.49,2.84,Cloudy,57.67,Unsafe
7.51,2.73,4.78,2.66,436.04,73.06,0.0162,170.4,44.77,1392,65,46,Collector,2429,30,791.21,248.56,72,0.11,88.1,995.99,7.45,Stormy,53.2,Unsafe
6.96,2.37,3.22,6.44,494.28,54.0,0.0166,19.07,87.05,1472,61,93,Arterial,2666,50,655.48,570.15,20,11.65,26.94,1048.05,25.51,Cloudy,59.17,Unsafe
8.3,2.98,4.91,9.48,1493.07,96.84,0.0423,107.34,74.57,1150,69,29,Arterial,1566,40,948.5,575.23,35,31.79,77.64,1023.91,40.92,Sunny,8.58,Safe
7.27,4.41,1.56,1.28,1487.95,95.86,0.0489,146.85,42.95,1972,69,92,Collector,2616,60,1160.28,540.76,67,25.1,41.46,1023.27,32.09,Rainy,20.0,Safe
7.59,4.37,0.93,1.54,321.22,47.76,0.0015,62.43,20.38,1505,47,20,Collector,540,70,490.69,359.98,81,38.68,67.16,1005.77,18.24,Sunny,88.16,Unsafe
8.31,2.37,2.02,8.52,358.9,64.87,0.0318,147.28,62.49,1886,27,69,Local,2847,40,385.96,186.41,25,2.69,90.31,981.8,12.19,Rainy,3.1,Safe
7.75,0.27,2.35,1.54,763.26,80.93,0.0122,80.25,40.01,1830,62,58,Collector,1958,60,1169.36,579.86,45,18.95,79.12,1029.22,35.87,Cloudy,84.97,Unsafe
6.73,2.25,4.48,0.87,265.74,43.31,0.0364,62.07,22.26,1553,71,28,Local,2901,40,632.2,157.58,47,36.52,69.88,1029.0,39.64,Stormy,4.66,Safe
8.38,3.11,2.8,3.81,780.86,82.94,0.0386,84.59,25.06,1522,49,31,Collector,2072,70,250.32,21.86,68,31.27,58.77,1041.54,2.74,Cloudy,45.26,Safe
7.76,2.88,1.46,4.93,629.12,11.15,0.0381,190.65,73.86,1354,61,86,Arterial,558,60,1063.24,664.54,96,9.31,13.19,1029.67,10.91,Cloudy,27.44,Safe
7.17,3.33,3.71,5.91,520.7,48.12,0.0218,182.01,53.14,1983,88,64,Local,1820,40,170.36,444.74,76,8.67,62.87,1005.9,21.22,Sunny,10.34,Safe
6.78,0.94,2.53,5.32,1242.78,48.26,0.0079,183.65,41.0,1417,87,92,Collector,653,40,645.82,961.38,4,15.51,50.86,1015.99,47.21,Cloudy,9.28,Safe
8.09,3.3,0.81,9.18,1250.77,68.47,0.0292,184.3,90.38,1556,72,27,Collector,1812,50,922.54,348.7,62,-4.07,40.0,999.26,2.06,Sunny,1.21,Safe
7.74,1.08,2.88,7.8,1482.44,11.64,0.0395,43.87,86.01,1718,30,90,Local,2649,70,1061.13,991.62,15,3.0,51.18,1025.35,3.54,Sunny,89.77,Unsafe
7.57,3.8,4.56,9.85,373.48,10.32,0.0456,180.25,57.3,1266,31,26,Arterial,1196,50,144.38,18.92,91,13.23,25.12,1009.07,40.75,Sunny,13.79,Safe
8.29,1.83,4.21,5.03,1338.0,90.06,0.0226,50.33,42.05,1819,16,50,Collector,919,50,829.98,68.07,6,31.33,27.14,989.52,29.3,Rainy,59.99,Unsafe
8.08,3.61,2.93,1.3,829.88,30.37,0.0123,169.25,60.57,1594,92,27,Local,2304,60,979.12,666.65,97,26.57,99.3,1045.51,19.67,Cloudy,50.88,Unsafe
6.8,0.43,1.89,9.58,907.62,32.69,0.0059,112.96,80.23,1827,65,92,Local,2450,70,767.12,638.62,7,44.68,83.27,997.29,40.27,Cloudy,33.82,Safe
7.12,2.16,0.43,0.54,1349.63,77.69,0.0399,55.59,20.86,1815,11,38,Collector,2654,70,344.47,546.93,3,12.15,79.06,1045.56,46.14,Stormy,39.87,Safe
7.0,3.58,2.35,7.87,1416.81,41.49,0.0268,85.72,69.01,1795,62,19,Collector,2601,50,832.73,200.96,35,37.81,81.21,1037.05,27.51,Cloudy,92.21,Unsafe
7.99,1.29,3.76,0.8,1103.88,83.29,0.0337,92.34,76.81,1696,38,7,Arterial,1237,30,1091.45,103.99,19,12.29,67.14,993.28,23.54,Sunny,59.42,Unsafe
6.57,4.02,1.8,7.73,554.37,40.15,0.008,149.3,85.34,1421,87,41,Collector,2794,60,1118.35,69.27,69,7.63,99.72,995.2,48.64,Stormy,78.02,Unsafe
7.64,3.23,1.18,9.41,760.02,76.06,0.0003,125.14,37.33,1397,96,93,Arterial,2394,50,868.46,776.65,52,19.75,49.77,996.38,17.6,Cloudy,35.85,Safe
8.02,3.02,4.66,4.2,941.83,52.53,0.0484,165.19,36.28,1198,96,88,Local,720,70,310.99,881.12,14,19.3,92.24,980.15,44.82,Rainy,37.07,Safe
8.25,1.9,4.11,2.79,1251.53,93.58,0.0405,85.39,37.26,1757,93,86,Collector,1095,50,303.83,822.57,5,10.58,42.75,1019.22,1.76,Stormy,74.93,Unsafe
7.18,2.52,3.19,2.65,1004.02,32.74,0.02,151.28,94.51,1671,95,8,Collector,2945,40,468.8,158.44,62,39.45,57.41,1022.77,12.06,Rainy,39.21,Safe
8.14,3.07,0.68,5.17,579.9,36.27,0.0229,160.63,31.28,1695,59,20,Arterial,906,70,267.59,782.02,43,41.43,77.23,1039.33,29.97,Sunny,2.8,Safe
6.72,2.47,0.72,2.12,655.93,97.0,0.0465,22.0,81.17,1768,19,23,Collector,2995,50,320.49,980.8,7,21.8,50.73,1024.16,47.96,Rainy,78.64,Unsafe
8.19,3.55,0.52,6.89,123.13,73.75,0.0104,81.37,98.94,1060,9,76,Arterial,982,60,304.77,618.27,45,27.65,46.66,1008.57,49.94,Rainy,38.66,Safe
6.75,2.28,3.08,4.0,1390.19,77.26,0.0401,178.34,95.7,1469,96,28,Collector,797,50,166.21,389.79,37,29.14,72.83,1026.87,18.06,Cloudy,46.69,Safe
7.29,1.17,0.58,3.57,177.77,29.6,0.0009,143.95,52.79,1224,95,23,Collector,2286,30,658.36,102.95,32,9.69,12.68,1037.47,12.54,Sunny,59.03,Unsafe
8.09,1.23,4.21,4.88,890.9,53.2,0.0438,89.5,87.15,1815,69,50,Collector,1032,50,369.62,309.46,42,28.78,42.13,992.23,17.56,Rainy,4.35,Safe
6.8,0.23,4.96,5.65,1313.9,31.35,0.0295,44.77,73.61,1139,23,21,Arterial,2456,60,1193.64,590.14,5,15.17,57.61,981.58,22.17,Sunny,53.96,Unsafe
6.96,1.64,1.83,1.85,660.25,25.99,0.0239,28.36,89.48,1796,55,25,Collector,1237,70,532.24,424.09,10,16.05,28.85,1018.96,29.86,Cloudy,50.2,Unsafe
7.94,3.79,2.27,7.22,1210.18,53.52,0.0353,53.58,32.89,1800,85,33,Local,556,30,781.21,517.97,44,38.81,84.41,1009.04,48.61,Stormy,5.25,Safe
7.94,4.01,3.56,8.89,1215.53,98.78,0.0034,56.49,81.19,1800,20,68,Arterial,1302,50,1142.42,686.86,10,22.88,11.63,1040.88,49.9,Cloudy,41.97,Safe
7.78,1.17,4.69,3.14,136.78,21.46,0.0098,80.43,66.92,1277,13,73,Collector,2111,50,964.69,437.58,18,41.71,26.92,1025.32,47.27,Sunny,71.9,Unsafe
7.89,4.8,4.47,2.21,647.61,24.25,0.0203,43.62,63.21,1123,57,58,Arterial,2864,30,985.59,201.98,84,31.51,43.32,1005.44,35.94,Sunny,39.86,Safe
7.59,2.61,0.29,7.72,1051.99,24.31,0.0309,37.75,78.31,1069,20,85,Collector,2494,30,1127.76,86.63,63,22.64,64.48,1020.6,45.34,Sunny,95.74,Unsafe
